# Спосабы словаўтварэння:
# 
# _START_DICTIONARY
# 0. утваральнае слова
# 1. суфіксальны ад
# 1n. суфіксальны ад
# 2. прыставачны ад
# 3. прыставачна-суфіксальны ад
# 4. постфіксальны ад
# 5. прыставачна-постфіксальны ад
# 6. прыставачна-нульсуфіксальны ад
# 7. нульсуфіксальны ад
# 8. складанне асноў са злучальнай марфемай ад
# 9. складанне асноў + суфіксальны ад
# 10. складанне асноў + нульсуфікс у канцы другой часткі ад
# 11. словаскладанне ад
# 12. складанаскарочанае ад
# 13. марфолага-сінтаксічны ад
# 14. лексіка-семантычны ад
# 15. суфіксальна-поствіксальны ад
# 16. прыставачна-суфіксальна-постфіксальны ад
# 17. асноваскладанне ад
# 18. форма слова
# _END_DICTIONARY

1.  абавязак	абавязаць -->1	//абавяз(=<обо>-//вяз//)//-ак-/0/
1268.  задача	задаць -->1	<за(=за)>-//да%(=да)//-ч-/а/
1269.  задні	зад -->1	//за%д(=зад)//-н-/і/
1270.  задраць	драць -->2	<за(=за)>-//др(=др)//-а%-ць
1271.  задрыжаць	дрыжаць -->2	<за(=за)>-//дрыж(=дрыг)//-а%-ць
1272.  задрыжэць	дрыжэць -->2	<за(=за)>-//дрыж(=дрыг)//-э%-ць
1273.  задума	задумаць -->7	<за(=за)>-//ду%м(=дум)//-:@:-/а/
1274.  задумацца	задумаць -->4	<за(=за)>-//ду%м(=дум)//-а-ц-{ца}
1275.  задумаць	думаць -->2	<за(=за)>-//ду%м(=дум)//-а-ць
1276.  задумвацца	задумваць -->4	<за(=за)>-//ду%м(=дум)//-ва-ц-{ца}
1277.  задумлівы	задумацца -->1	<за(=за)>-//ду%м(=дум)//-лів-/ы/
1278.  задушыць	душыць -->2	<за(=за)>-//душ(=дух)//-ы%-ць
1279.  задыхацца	дыхаць -->5	<за(=за)>-//ды%х(=дух)//-а-ц-{ца}
1280.  задыхацца	дыхаць -->5	<за(=за)>-//дых(=дух)//-а%-ц-{ца}
1281.  заехаць	ехаць -->2	<за(=за)>-//е%х(=ет)//-а-ць
1282.  зазвінець	звінець -->2	<за(=за)>-//звін(=звн)//-е%-ць
1283.  зазіраць	0 -->	<за(=за)>-//зір(=зор)//-а%-ць
1284.  зазірнуць	зазіраць -->1	<за(=за)>-//зір(=зор)//-ну%-ць
1285.  зазначыць	значыць -->1	<за(=за)>-//зна%ч(=зна)//-ы-ць
1286.  зайздрасць	0 -->	//за%йздрасць(=зайздрос)//-/0/
1287.  зайздросціць	зайздрасць -->1	//зайздро%с(=зайздрос)//ц-і-ць
1288.  займацца	займаць -->4	//займ(=нім)//-а%-ц-{ца}
1289.  займаць	заняць -->1n	//займ(=нім)//-а%-ць
1290.  зайсці	ісці -->	<за(=за)>-//йс(=ід)//-ці%
1291.  заканчэнне	закончыць -->1	<за(=за)>-//канч(=кон)//-э%нн-/е/
1292.  закінуць	кінуць -->2	<за(=за)>-//кі%(=кідн)//-ну-ць
1293.  заклік	заклікаць -->7	<за%(=за)>-//клік(=клік)//-:@:-/0/
1294.  заклікаць	0 -->	<за(=за)>-//клі%к(=клік)//-а-ць
1295.  заклікаць	0 -->	<за(=за)>-//клік(=клік)//-а%-ць
1296.  заключыць	0 -->	//заключ(=ключ)//-ы%-ць
1297.  закон	0 -->	//зако%н(=кон)//-/0/
1298.  законны	закон -->1	//зако%н(=кон)//-н-/ы/
1299.  закончыцца	закончыць -->4	<за(=за)>-//ко%нч(=кон)//-ы-ц-{ца}
1300.  закончыць	кончыць -->2	<за(=за)>-//ко%нч(=кон)//-ы-ць
1301.  закружыцца	закружыць -->4	<за(=за)>-//круж(=круг)//-ы%-ц-{ца}
1302.  закруціць	круціць -->2	<за(=за)>-//круц(=крут)//-і%-ць
1303.  закрываць	закрыць -->1	<за(=за)>-//кры(=кры)//-ва%-ць
1304.  закрыць	крыць -->2	<за(=за)>-//кры%(=кры)//-ць
1305.  закрычаць	крычаць -->2	<за(=за)>-//крыч(=крык)//-а%-ць
1306.  закурыць	курыць -->2	<за(=за)>-//кур(=кур)//-ы%-ць
1307.  зала	0 -->	//за%л(=зал)//-/а/
1308.  зала	0 -->	//зал(=гел8)//-/а%/
1309.  залаты	золата -->7	//залат(=гел1)//-:@:-/ы%/
1310.  залацісты	залаты -->1	//залац(=гел1)//-і%ст-/ы/
1311.  залежаць	0 -->	//зале%ж(=лег)//-а-ць
1312.  залезці	лезці -->2	<за(=за)>-//ле%з(=лаз)//-ці
1313.  заліваць	заліць -->1	<за(=за)>-//лі(=лей)//-ва%-ць
1314.  заліць	ліць -->2	<за(=за)>-//лі%(=лей)//-ць
1315.  залішне	залішні -->1	<за(=за)>-//лі%шн(=ліх)//-е
1316.  залішні	лішні -->2	<за(=за)>-//лі%шн(=ліх)//-/і/
1317.  замак	0 -->	//за%мак(=замк)//-/0/
1318.  замах	замахнуцца -->7	<за(=за)>-//ма%х(=май1)//-:@:-/0/
1319.  замахаць	махаць -->2	<за(=за)>-//мах(=май1)//-а%-ць
1320.  замежны	мяжа -->3	<за(=за)>-//ме%ж(=меж)//-н-/ы/
1321.  замерці	мерці -->2	<за(=за)>-//ме%р(=мр)//-ці
1322.  замілаванне	замілаваць -->1	<за(=за)>-//міл(=міл)//-ава%-нн-/е/
1323.  замінаць	замяць -->1	<за(=за)>-//мін(=мн)//-а%-ць
1324.  замінаць	0 -->	//замін(=мін)//-а%-ць
1325.  замітусіцца	мітусіцца -->2	<за(=за)>-//мітус(=мітус)//-і%-ц-{ца}
1326.  замкавы	замак -->1	//за%мк(=замк)//-ав-/ы/
1327.  заможны	0 -->	//замо%жн(=мог)//-/ы/
1328.  замок	0 -->	//замо%к(=мк)//-/0/
1329.  замуж	муж -->6	<за%(=за)>-//муж(=муж)//-:@:
1330.  замяніць	мяняць -->3	<за(=за)>-//мян(=мен)//-і%-ць
1331.  занесці	несці -->2	<за(=за)>-//не%с(=нос)//-ці
1332.  занятак	заняць -->1	//заня%(=нім)//-так-/0/
1333.  заняты	заняць -->18	//заня%(=нім)//-т-/ы/
1334.  заняцца	заняць -->4	//заня%(=нім)//-ц-{ца}
1335.  заняць	0 -->	//заня%(=нім)//-ць
1336.  запавет	0 -->	//запаве%т(=вед1)//-/0/
1337.  запал	запаліць -->7	<за(=за)>-//па%л(=пал)//-:@:-/0/
1338.  запаліць	паліць -->2	<за(=за)>-//пал(=пал)//-і%-ць
1339.  запалка	запаліць -->1	<за(=за)>-//па%л(=пал)//-к-/а/
1340.  запальваць	запаліць -->1	<за(=за)>-//па%ль(=пал)//-ва-ць
1341.  запас	запасці -->7	<за(=за)>-//па%с(=пас)//-:@:-/0/
1342.  запасці	0 -->	<за(=за)>-//па%с(=пас)//-ці
1343.  запахнуць	пахнуць -->2	<за(=за)>-//па%х(=пах1)//-ну-ць
1344.  запіс	запісаць -->7	<за%(=за)>-//піс(=піс)//-:@:-/0/
1345.  запісаць	пісаць -->2	<за(=за)>-//піс(=піс)//-а%-ць
1346.  запісваць	запісаць -->1	<за(=за)>-//пі%с(=піс)//-ва-ць
1347.  заплакаць	плакаць -->2	<за(=за)>-//пла%к(=плак)//-а-ць
1348.  заплаціць	плаціць -->2	<за(=за)>-//плац(=плат)//-і%-ць
1349.  заплюшчыць	плюшчыць -->2	<за(=за)>-//плю%шч(=плюшч)//-ы-ць
1350.  запомніць	помніць -->2	<за(=за)>-//по%мн(=памн)//-і-ць
1351.  запоўніць	поўны -->3	<за(=за)>-//по%ўн(=поўн)//-і-ць
1352.  запрасіць	прасіць -->2	<за(=за)>-//прас(=прос)//-і%-ць
1353.  запрашаць	запрасіць -->1n	<за(=за)>-//праш(=прос)//-а%-ць
1354.  запрашэнне	запрашаць -->1	<за(=за)>-//праш(=прос)//-э%нн-/е/
1355.  запытанне	запытаць -->1	<за(=за)>-//пыт(=пыт)//-а%-нн-/е/
1356.  запытацца	запытаць -->4	<за(=за)>-//пыт(=пыт)//-а%-ц-{ца}
1357.  запытаць	пытаць -->2	<за(=за)>-//пыт(=пыт)//-а%-ць
1358.  запярэчыць	пярэчыць -->2	<за(=за)>-//пярэ%ч(=перак)//-ы-ць
1359.  зарабіць	рабіць -->2	<за(=за)>-//раб(=роб)//-і%-ць
1360.  зарабляць	зарабіць -->1	<за(=за)>-//рабл(=роб)//-я%-ць
1361.  зарагатаць	рагатаць -->2	<за(=за)>-//рагат(=рыг1)//-а%-ць
1362.  зараз	0 -->	//за%раз(=рэз)//
1363.  зараз	раз -->6	<за(=за)>-//ра%з(=рэз)//-:@:
1364.  зараза	заразіць -->7	//зара%з(=зараз)//-:@:-/а/
1365.  зараснік	зарастаць -->1	<за%(=за)>-//рас(=рост)//-нік-/0/
1366.  зарасці	расці -->2	<за(=за)>-[//рас(=рост)//-ц]і%
1367.  зараўці	раўці -->2	<за(=за)>-//раў(=рэв)//-ці%
1368.  зарослы	зарасці -->1	<за(=за)>-//ро%с(=рост)//-л-/ы/
1369.  зарэзаць	рэзаць -->2	<за(=за)>-//рэ%з(=рэз)//-а-ць
1370.  засада	засадзіць -->7	<за(=за)>-//са%д(=сад)//-:@:-/а/
1371.  засесці	сесці -->2	<за(=за)>-//се%с(=сад)//-ці
1372.  заслон	засланіць -->7	//засло%н(=слон)//-:@:-/0/
1373.  заслона	засланіць -->7	<за(=за)>-//сло%н(=слон)//-:@:-/а/
1374.  заслуга	заслужыць -->7	<за(=за)>-//слу%г(=слуг)//-:@:-/а/
1375.  заслужыць	служыць -->2	<за(=за)>-//служ(=слуг)//-ы%-ць
1376.  засмяяцца	смяяцца -->2	<за(=за)>-//смя(=смех)//-я%-ц-{ца}
1377.  заснуць	спаць -->3	<за(=за)>-//сн(=спн)//-у%-ць
1378.  заспяваць	спяваць -->2	<за(=за)>-<с(=с)>-//пя(=пе)//-ва%-ць
1379.  застава	0 -->	//заста%в(=стай)//-/а/
1380.  заставацца	застацца -->1	<за(=за)>-//ста(=стай)//-ва%-ц-{ца}
1381.  заставіцца	заставіць -->4	<за(=за)>-//ста%в(=стай)//-і-ц-{ца}
1382.  заставіць	ставіць -->2	<за(=за)>-//ста%в(=стай)//-і-ць
1383.  застагнаць	стагнаць -->2	<за(=за)>-//стагн(=стогн)//-а%-ць
1384.  застацца	0 -->	<за(=за)>-//ста%(=стай)//-ц-{ца}
1385.  застрэліць	стрэліць -->2	<за(=за)>-//стрэ%л(=стрэл)//-і-ць
1386.  заступіцца	заступіць -->4	<за(=за)>-//ступ(=ступ)//-і%-ц-{ца}
1387.  застылы	застыць -->1	<за(=за)>-//сты%(=студ)//-л-/ы/
1388.  застыць	стыць -->2	<за(=за)>-//сты%(=студ)//-ць
1389.  засунуць	сунуць -->2	<за(=за)>-//су%(=су)//-ну-ць
1390.  засынаць	заснуць -->1n	<за(=за)>-//сын(=спн)//-а%-ць
1391.  засыпаць	засыпа%ць -->	<за(=за)>-//сы%п(=сыпл)//-а-ць
1392.  засыпаць	сыпаць -->2	<за(=за)>-//сып(=сыпл)//-а%-ць
1393.  засыпаць	заснуць -->1n	<за(=за)>-//сып(=спн)//-а%-ць
1394.  затрымацца	затрымаць -->4	<за(=за)>-//трым(=трым)//-а%-ц-{ца}
1395.  затрымаць	трымаць -->2	<за(=за)>-//трым(=трым)//-а%-ць
1396.  заўвага	заўважыць -->7	<за(=за)>-//ўва%г(=ваг)//-:@:-/а/
1397.  заўважаць	заўважыць -->1n	<за(=за)>-//ўваж(=ваг)//-а%-ць
1398.  заўважыць	0 -->	<за(=за)>-//ўва%ж(=ваг)//-ы-ць
1399.  заўтра	0 -->	//за%ўтра(=утр)//
1400.  заўтрашні	заўтра -->1	//за%ўтра(=утр)//-шн-/і/
1401.  захавацца	захаваць -->4	<за(=за)>-//хав(=хов)//-а%-ц-{ца}
1402.  захаваць	хаваць -->2	<за(=за)>-//хав(=хов)//-а%-ць
1403.  захад	заходзіць -->7	//за%хад(=ход)//-:@:-/0/
1404.  захадзіць	хадзіць -->2	<за(=за)>-//хадз(=ход)//-і%-ць
1405.  захапіць	хапіць -->2	<за(=за)>-//хап(=хопл)//-і%-ць
1406.  захапленне	захапіць -->1	<за(=за)>-//хапл(=хопл)//-е%нн-/е/
1407.  захапляцца	захапляць -->4	<за(=за)>-//хапл(=хопл)//-я%-ц-{ца}
1408.  захацецца	захацець -->4	<за(=за)>-//хац(=хот)//-е%-ц-{ца}
1409.  захацець	хацець -->2	<за(=за)>-//хац(=хот)//-е%-ць
1410.  захварэць	хварэць -->2	<за(=за)>-//хвар(=хвор)//-э%-ць
1411.  заходзіцца	заходзіць -->4	<за(=за)>-//хо%дз(=ход)//-і-ц-{ца}
1412.  заходзіць	хадзіць -->2	<за(=за)>-//хо%дз(=ход)//-і-ць
1413.  заходні	захад -->1	//захо%д(=ход)//-н-/і/
1414.  захоп	захапіць -->7	<за(=за)>-//хо%п(=хопл)//-:@:-/0/
1415.  захоўваць	захаваць -->1	<за(=за)>-//хо%ў(=хов)//-ва-ць
1416.  зацікавіцца	зацікавіць -->4	<за(=за)>-//ціка%в(=цікав)//-і-ц-{ца}
1417.  заціхнуць	ціхнуць -->2	<за(=за)>-//ці%х(=ціх)//-ну-ць
1418.  зацягнуцца	зацягнуць -->4	<за(=за)>-//цяг(=цяг)//-ну%-ц-{ца}
1419.  зацягнуць	цягнуць -->2	<за(=за)>-//цяг(=цяг)//-ну%-ць
1420.  зачапіцца	зачапіць -->4	<за(=за)>-//чап(=чэпл)//-і%-ц-{ца}
1421.  зачапіць	чапляць -->3	<за(=за)>-//чап(=чэпл)//-і%-ць
1422.  зачыніцца	зачыніць -->4	<за(=за)>-//чын(=кон1)//-і%-ц-{ца}
1423.  зачыніць	чыніць -->2	<за(=за)>-//чын(=кон1)//-і%-ць
1424.  зашаптаць	шаптаць -->2	<за(=за)>-//шапт(=шэпт)//-а%-ць
1425.  зашумець	шумець -->2	<за(=за)>-//шум(=шум)//-е%-ць
1426.  заява	заявіць -->7	//зая%в(=яв)//-:@:-/а/
1427.  заявіць	0 -->	<за(=за)>-//яв(=яв)//-і%-ць
1428.  заяц	0 -->	//за%яц(=зай1)//-/0/
1429.  збегчы	бегчы -->2	<з(=с)>-//бе%г(=бег)//-чы
1430.  збіваць	збіць -->1	<з(=с)>-//бі(=бі)//-ва%-ць
1431.  збірацца	збіраць -->4	<з(=с)>-//бір(=бр)//-а%-ц-{ца}
1432.  збіраць	сабраць -->1n	<з(=с)>-//бір(=бр)//-а%-ць
1433.  збіцца	збіць -->4	<з(=с)>-//бі%(=бі)//-ц-{ца}
1434.  збіць	біць -->2	<з(=с)>-//бі%(=бі)//-ць
1435.  збожжа	0 -->	//збо%жж(=бог1)//-/а/
1436.  збоку	бок -->3	<з(=с)>-//бо%к(=бок)//-у
1437.  збор	сабраць -->7	//збо%р(=бр)//-:@:-/0/
1438.  зборнік	збіраць -->1	//збо%р(=бр)//-нік-/0/
1439.  зброя	0 -->	//збро%(=зброй)//-/я/
1440.  збялець	бялець -->2	<з(=с)>-//бял(=бел)//-е%-ць
1441.  зважаць	зважыць -->1n	<з(=с)>-//важ(=ваг)//-а%-ць
1442.  зваліцца	зваліць -->4	<з(=с)>-//вал(=вал)//-і%-ц-{ца}
1443.  зваліць	валіць -->2	<з(=с)>-//вал(=вал)//-і%-ць
1444.  званіца	звон -->1	//зван(=звн)//-і%ц-/а/
1445.  званіць	звон -->1	//зван(=звн)//-і%-ць
1446.  званок	звон -->1	//зван(=звн)//-о%к-/0/
1447.  званы	зваць -->18	//зв(=зв)//-а%-н-/ы/
1448.  зварухнуцца	зварухнуць -->4	<з(=с)>-//варух(=варух)//-ну%-ц-{ца}
1449.  звар'яцець	вар'яцець -->2	<з(=с)>-//вар'(=вар'ят)//-яц-е%-ць
1450.  звацца	зваць -->4	//зв(=зв)//-а%-ц-{ца}
1451.  зваць	0 -->	//зв(=зв)//-а-ць
1452.  зведаць	ведаць -->2	<з(=с)>-//ве%д(=вед1)//-а-ць
1453.  звер	0 -->	//звер(=звер)//-/0/
1454.  зверху	верх -->3	<з(=с)>-//ве%рх(=верх)//-у
1455.  зверыць	0 -->	<з(=с)>-//ве%р(=вер)//-ы-ць
1456.  звестка	вестка -->2	<з(=с)>-//ве%ст(=вед1)//-к-/а/
1457.  звесці	весці -->2	<з(=с)>-//ве%с(=вед)//-ці
1458.  звінець	0 -->	//звін(=звн)//-е%-ць
1459.  звісаць	звіснуць -->1n	<з(=с)>-//віс(=вьс)//-а%-ць
1460.  зводзіць	звесці -->1n	<з(=с)>-//во%дз(=вед)//-і-ць
1461.  звон	звінець -->7	//зво%н(=звн)//-:@:-/0/
1462.  звонка	звонкі -->1	//зво%н(=звн)//-к-а
1463.  звонкі	звон -->1	//зво%н(=звн)//-к-/і/
1464.  звыклы	звыкнуць -->1	<з(=с)>-//вы%к(=вык)//-л-/ы/
1465.  звычай	звыкнуцца -->1	<з(=с)>-//вы%ч(=вык)//-ай-/0/
1466.  звычайны	звыкнуцца -->1	<з(=с)>-//выч(=вык)//-а%йн-/ы/
1467.  звычка	звыкнуцца -->1	<з(=с)>-//вы%ч(=вык)//-к-/а/
1468.  звязаць	вязаць -->2	<з(=с)>-//вяз(=вяз)//-а%-ць
1469.  звярнуцца	звярнуць -->4	<з(=с)>-//вяр(=вьрт)//-ну%-ц-{ца}
1470.  звярнуць	вярнуць -->2	<з(=с)>-//вяр(=вьрт)//-ну%-ць
1471.  звяртацца	звяртаць -->4	<з(=с)>-//вярт(=вьрт)//-а%-ц-{ца}
1472.  звяртаць	вяртаць -->2	<з(=с)>-//вярт(=вьрт)//-а%-ць
1473.  звярыны	звер -->1	//звяр(=звер)//-ы%н-/ы/
1474.  згадаць	гадаць -->1	<з(=с)>-//гад(=гад2)//-а%-ць
1475.  згадваць	згадаць -->1	<з(=с)>-//га%д(=гад2)//-ва-ць
1476.  згаджацца	згадзіцца -->1n	<з(=с)>-//гадж(=гад2)//-а%-ц-{ца}
1477.  згадзіцца	згадзіць -->4	<з(=с)>-//га%дз(=гад2)//-і-ц-{ца}
1478.  згадзіцца	0 -->	<з(=с)>-//гадз(=гад2)//-і%-ц-{ца}
1479.  згарэлы	згарэць -->1	<з(=с)>-//гар(=гар)//-э%-л-/ы/
1480.  згарэць	гарэць -->2	<з(=с)>-//гар(=гар)//-э%-ць
1481.  згінуць	гінуць -->2	<з(=с)>-//гі%(=гіб2)//-ну-ць
1482.  згледзець	глядзець -->2	<з(=с)>-//гле%дз(=гляд)//-е-ць
1483.  згода	згадзіцца -->	<з(=с)>-//го%д(=гад2)//-:@:-/а/
1484.  згодны	згода -->1	<з(=с)>-//го%д(=гад2)//-н-/ы/
1485.  зграбны	0 -->	//згра%бн(=граб)//-/ы/
1486.  зграя	0 -->	//згра%(=зграй)//-/я/
1487.  згубіцца	згубіць -->4	<з(=с)>-//губ(=гіб1)//-і%-ц-{ца}
1488.  згубіць	губіць -->2	<з(=с)>-//губ(=гіб1)//-і%-ць
1489.  здабыць	дабыць -->2	<з(=с)>-//дабы%(=бы)//-ць
1490.  здабыча	здабыць -->1	<з(=с)>-//дабы%(=бы)//-ч-/а/
1491.  здавацца	здаваць -->1	<з(=с)>-//да(=да)//-ва%-ц-{ца}
1492.  здавацца	здацца-->1	//зда(=да)//-ва%-ц-{ца}
1493.  здагадацца	гадаць -->3	<з(=с)>-<да(=до)>-//гад(=гад2)//-а%-ц-{ца}
1494.  здагадвацца	здагадацца -->1	<з(=с)>-<да(=до)>-//га%д(=гад2)//-ва-ц-{ца}
1495.  здагадка	здагадацца -->1	<з(=с)>-<да(=до)>-//га%д(=гад2)//-к-/а/
1496.  здалёк	далёкі -->6	<з(=с)>-//дал(=даль)//-ё%к-:@:
1497.  здалёку	далёкі -->3	<з(=с)>-//дал(=даль)//-ё%к-у
1498.  здань	здавацца -->1	//зда(=да)//-нь-/0/
1499.  здарацца	здарыцца -->1n	//здар(=<з>-//да//-р)//-а%-ц-{ца}
1500.  здаровы	0 -->	//здаро%в(=здаров)//-/ы/
1501.  здароўе	здаровы -->1	//здаро%ў(=здаров)//-/е/
1502.  здарыцца	0 -->	//зда%р(=<з>-//да//-р)//-ы-ц-{ца}
1503.  здарэнне	здарыцца -->1	//здар(=<з>-//да//-р)//-э%нн-/е/
1504.  здатны	0 -->	//зда%тн(=да)//-/ы/
1505.  здацца	здаць -->4	<з(=с)>-//да%(=да)//-ц-{ца}
1506.  здацца	здаць -->4	//зда%(=да)//-ц-{ца}
1507.  здаць	даць -->2	<з(=с)>-//да(=да)//-ць
1508.  здзек	здзекавацца -->7	//здзек(=здзек)//-:@:-/0/
1509.  здзекавацца	0 -->	//здзе%к(=здзек)//-ава-ц-{ца}
1510.  здзівіцца	здзівіць -->4	<з(=с)>-//дзів(=дзів1)//-і%-ц-{ца}
1511.  здзівіць	дзівіць -->2	<з(=с)>-//дзів(=дзів1)//-і%-ць
1512.  здзіўленне	здзівіцца -->1	<з(=с)>-//дзіўл(=дзів1)//-е%нн-/е/
1513.  здзіўляцца	здзіўляць -->4	<з(=с)>-//дзіўл(=дзів1)//-я%-ц-{ца}
1514.  здолець	0 -->	<з(=с)>-//до%л(=доль)//-е-ць
1515.  здольнасць	здольны -->1	//здо%льн(=доль)//-асць-/0/
1516.  здольны	здолець -->	//здо%ль(=доль)//-н-/ы/
1517.  здрада	здрадзіць -->7	//здра%д(=рад1)//-:@:-/а/
1518.  здрадзіць	0 -->	//здра%дз(=рад1)//-і-ць
1519.  здраднік	здрадзіць -->1	//здра%д(=рад1)//-нік-/0/
1520.  здрыгануцца	здрыгануць -->4	<з(=с)>-//дрыг(=дрыг)//-ану%-ц-{ца}
1521.  здымак	здымаць -->1	<з(=с)>-//ды%м(=нім)//-ак-/0/
1522.  здымаць	0 -->	<з(=с)>-//дым(=нім)//-а%-ць
1523.  здымка	здымаць -->1	<з(=с)>-//ды%м(=нім)//-к-/а/
1524.  з'едлівы	едкі -->1	<з'(=с)>-//е%д(=ед)//-лів-/ы/
1525.  зелле	0 -->	//зе%лл(=гел3)//-/е/
1526.  зерне	0 -->	//зе%рн(=зерн)//-/е/
1527.  з'есці	есці -->2	<з'(=с)>-//е%с(=ед)//-ці
1528.  з'ехаць	ехаць -->2	<з'(=с)>-//е%х(=ет)//-а-ць
1529.  зёлкі	зёлка -->18	//зё%лк(=гел3)//-/і/
1530.  ззаду	зад -->3	<з(=с)>-//за%д(=зад)//-у
1531.  ззяць	0 -->	//ззя%(=сій)//-ць
1532.  ззяць	0 -->	//ззя%(=зев)//-ць
1533.  зіма	0 -->	//зім(=зім)//-/а%/
1534.  зімовы	зіма -->1	//зім(=зім)//-о%в-/ы/
1535.  зірнуць	0 -->	//зір(=зор)//-ну%-ць
1536.  зіхацець	0 -->	//зіхац(=зіхат)//-е%-ць
1537.  злавацца	злаваць -->4	//зл(=зл)//-ава%-ц-{ца}
1538.  злаваць	злы -->1	//зл(=зл)//-ава%-ць
1539.  злавесны	злы -->9	//зл(=зл)//-|а|-//ве%с(=вед1)//-н-/ы/
1540.  злавіць	лавіць -->2	<з(=с)>-//лав(=лов)//-і%-ць
1541.  злазіць	лазіць -->2	<з(=с)>-//ла%з(=лаз)//-і-ць
1542.  зламаць	ламаць -->2	<з(=с)>-//лам(=лом)//-а%-ць
1543.  злачынец	зло+чыніць -->9	//зл(=зл)//-|а|-//чы%н(=кон1)//-ец-/0/
1544.  злачынства	злачынец -->1	//зл(=зл)//-|а|-//чы%н(=кон1)//-ств-/а/
1545.  злачынца	злачынец -->1	//зл(=зл)//-|а|-//чы%н(=кон1)//-ц-/а/
1546.  злева	левы -->3	<з(=с)>-//ле%в(=лев)//-а
1547.  злезці	лезці -->2	<з(=с)>-//ле%з(=лаз)//-ці
1548.  злёгку	лёгкі -->3	<з(=с)>-//лё%г(=льг)//-к-у
1549.  злівацца	зліваць -->4	<з(=с)>-//лі(=лей)//-ва%-ц-{ца}
1550.  злітавацца	літаваць -->5	<з(=с)>-//лі%т(=літ)//-ава-ц-{ца}
1551.  злітавацца	злітаваць -->4	<з(=с)>-//літ(=літ)//-ава%-ц-{ца}
1552.  зліцца	зліць -->4	<з(=с)>-//лі%(=лей)//-ц-{ца}
1553.  зло	0 -->	//зл(=зл)//-/о%/
1554.  злодзей	зло+дзеяць -->10	//зл(=зл)//-о%-//дзей(=дзел)//-:@:-/0/
1555.  злосны	злосць -->1	//зл(=зл)//-о%с-н-/ы/
1556.  злосць	злы -->1	//зл(=зл)//-о%сць-/0/
1557.  злы	зло -->7	//зл(=зл)//-/ы/
1558.  змаганне	змагацца -->1	//змаг(=мог)//-а%-нн-/е/
1559.  змагацца	0 -->	//змаг(=мог)//-а%-ц-{ца}
1560.  змагчы	магчы -->2	<з(=с)>-//маг(=мог)//-чы%
1561.  змей	0 -->	//змей(=змей)//-/0/
1562.  змена	змяніць -->7	<з(=с)>-//ме%н(=мен)//-:@:-/а/
1563.  змова	змовіцца -->7	<з(=с)>-//мо%в(=мов)//-:@:-/а/
1564.  змоўкнуць	моўкнуць -->2	<з(=с)>-//мо%ўк(=моўч)//-ну-ць
1565.  змрок	0 -->	//змро%к(=мр1)//-/0/
1566.  змрочны	змрок -->1	//змро%ч(=мр1)//-н-/ы/
1567.  змяніцца	мяняць -->3	<з(=с)>-//мян(=мен)//-і%-ц-{ца}
1568.  змяніць	0 -->	<з(=с)>-//мян(=мен)//-і%-ць
1569.  змяя	0 -->	//змя(=змей)//-я%
1570.  знадворку	надворак -->3	<з(=с)>-<на(=на)>-//дво%р(=двор)//-к-у
1571.  знаёмства	знаёміцца -->1	//знаё%м(=зна)//-ств-/а/
1572.  знаёмы	0 -->	//знаё%м(=зна)//-/ы/
1573.  знайсці	0 -->	<з(=с)>-<на(=на)>-//йс(=ід)//-ці%
1574.  знайсціся	знайсці -->4	<з(=с)>-<на(=на)>-//йс(=ід)//-ці%-{ся}
1575.  знак	0 -->	//знак(=зна)//-/0/
1576.  знакаміты	0 -->	//знак(=зна)//амі%т-/ы/
1577.  знарок	наракаць -->3	<з(=с)>-//наро%к(=рок)//-/0/
1578.  знаходзіцца	знаходзіць -->4	<з(=с)>-//нахо%дз(=ход)//-і-ц-{ца}
1579.  знаць	0 -->	//знаць(=зна)//-/0/
1580.  значны	значыць -->1	//зна%ч(=зна)//-н-/ы/
1581.  значыцца	значыць -->4	//зна%ч(=зна)//-ы-ц-{ца}
1582.  значыць	знак -->1	//зна%ч(=зна)//-ы-ць
1583.  значэнне	значыць -->1	//знач(=зна)//-э%нн-/е/
1584.  знешні	0 -->	//зне%шн(=вон)//-/і/
1585.  знізу	ніз -->3	<з(=с)>-//ні%з(=ніз)//-у
1586.  знікаць	0 -->	<з(=с)>-//нік(=нік)//-а%-ць
1587.  знікнуць	знікаць -->1n	<з(=с)>-//ні%к(=нік)//-ну-ць
1588.  знішчыць	нішчыць -->2	<з(=с)>-//ні%шч(=нішт)//-ы-ць
1589.  зноў	новы -->6	<з(=с)>-//но%ў(=нов)//-:@:
1590.  зноўку	зноў -->1	<з(=с)>-//но%ў(=нов)//-к-у
1591.  знявага	зняважыць -->7	<з(=с)>-<ня(=не)>-//ва%г(=ваг)//-:@:-/а/
1592.  зняволенне	зняволіць -->1	<з(=с)>-<ня(=не)>-//во%л(=воль)//-енн-/е/
1593.  знянацку	0 -->	<з(=с)>-//няна%цк(=нада)//-у
1594.  зняць	0 -->	<з(=с)>-//ня(=нім)//-ць
1595.  золата	0 -->	//зо%лат(=гел1)//-/а/
1596.  зона	0 -->	//зо%н(=зона)//-/а/
1597.  зорка	зоркі -->1	//зо%рк(=зор)//-а
1598.  зоркі	0 -->	//зо%рк(=зор)//-/і/
1599.  зорны	зорка -->1	//зо%р(=зор)//-н-/ы/
1600.  зрабіцца	зрабіць -->4	<з(=с)>-//раб(=роб)//-і%-ц-{ца}
